Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
30/06/2008,04:00,Commercial Street at Lush,32,Monday,27,June,2008
30/06/2008,05:00,Commercial Street at Lush,18,Monday,27,June,2008
30/06/2008,06:00,Commercial Street at Lush,85,Monday,27,June,2008
30/06/2008,07:00,Commercial Street at Lush,158,Monday,27,June,2008
30/06/2008,08:00,Commercial Street at Lush,688,Monday,27,June,2008
30/06/2008,09:00,Commercial Street at Lush,1498,Monday,27,June,2008
30/06/2008,10:00,Commercial Street at Lush,1717,Monday,27,June,2008
30/06/2008,11:00,Commercial Street at Lush,2603,Monday,27,June,2008
30/06/2008,12:00,Commercial Street at Lush,3625,Monday,27,June,2008
30/06/2008,13:00,Commercial Street at Lush,7701,Monday,27,June,2008
30/06/2008,14:00,Commercial Street at Lush,9411,Monday,27,June,2008
30/06/2008,15:00,Commercial Street at Lush,5750,Monday,27,June,2008
30/06/2008,16:00,Commercial Street at Lush,5178,Monday,27,June,2008
30/06/2008,17:00,Commercial Street at Lush,5749,Monday,27,June,2008
30/06/2008,18:00,Commercial Street at Lush,5105,Monday,27,June,2008
30/06/2008,19:00,Commercial Street at Lush,1466,Monday,27,June,2008
30/06/2008,20:00,Commercial Street at Lush,364,Monday,27,June,2008
30/06/2008,21:00,Commercial Street at Lush,230,Monday,27,June,2008
30/06/2008,22:00,Commercial Street at Lush,153,Monday,27,June,2008
30/06/2008,23:00,Commercial Street at Lush,91,Monday,27,June,2008
01/07/2008,00:00,Commercial Street at Lush,65,Tuesday,27,June,2008
01/07/2008,01:00,Commercial Street at Lush,75,Tuesday,27,June,2008
01/07/2008,02:00,Commercial Street at Lush,10,Tuesday,27,June,2008
01/07/2008,03:00,Commercial Street at Lush,3,Tuesday,27,June,2008
01/07/2008,04:00,Commercial Street at Lush,3,Tuesday,27,June,2008
01/07/2008,05:00,Commercial Street at Lush,3,Tuesday,27,June,2008
01/07/2008,06:00,Commercial Street at Lush,83,Tuesday,27,June,2008
01/07/2008,07:00,Commercial Street at Lush,179,Tuesday,27,June,2008
01/07/2008,08:00,Commercial Street at Lush,681,Tuesday,27,June,2008
01/07/2008,09:00,Commercial Street at Lush,1658,Tuesday,27,June,2008
01/07/2008,10:00,Commercial Street at Lush,1669,Tuesday,27,June,2008
01/07/2008,11:00,Commercial Street at Lush,2479,Tuesday,27,June,2008
01/07/2008,12:00,Commercial Street at Lush,2659,Tuesday,27,June,2008
01/07/2008,13:00,Commercial Street at Lush,8030,Tuesday,27,June,2008
01/07/2008,14:00,Commercial Street at Lush,9833,Tuesday,27,June,2008
01/07/2008,15:00,Commercial Street at Lush,5852,Tuesday,27,June,2008
01/07/2008,16:00,Commercial Street at Lush,5314,Tuesday,27,June,2008
