Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
19/08/2008,13:00,Albion Street North,4908,Tuesday,34,August,2008
19/08/2008,14:00,Albion Street North,3064,Tuesday,34,August,2008
19/08/2008,15:00,Albion Street North,3171,Tuesday,34,August,2008
19/08/2008,16:00,Albion Street North,2522,Tuesday,34,August,2008
19/08/2008,17:00,Albion Street North,1979,Tuesday,34,August,2008
19/08/2008,18:00,Albion Street North,680,Tuesday,34,August,2008
19/08/2008,19:00,Albion Street North,304,Tuesday,34,August,2008
19/08/2008,20:00,Albion Street North,231,Tuesday,34,August,2008
19/08/2008,21:00,Albion Street North,102,Tuesday,34,August,2008
19/08/2008,22:00,Albion Street North,78,Tuesday,34,August,2008
19/08/2008,23:00,Albion Street North,82,Tuesday,34,August,2008
20/08/2008,00:00,Albion Street North,28,Wednesday,34,August,2008
20/08/2008,01:00,Albion Street North,27,Wednesday,34,August,2008
20/08/2008,02:00,Albion Street North,22,Wednesday,34,August,2008
20/08/2008,03:00,Albion Street North,9,Wednesday,34,August,2008
20/08/2008,04:00,Albion Street North,4,Wednesday,34,August,2008
20/08/2008,05:00,Albion Street North,16,Wednesday,34,August,2008
20/08/2008,06:00,Albion Street North,69,Wednesday,34,August,2008
20/08/2008,07:00,Albion Street North,411,Wednesday,34,August,2008
20/08/2008,08:00,Albion Street North,997,Wednesday,34,August,2008
20/08/2008,09:00,Albion Street North,872,Wednesday,34,August,2008
20/08/2008,10:00,Albion Street North,1089,Wednesday,34,August,2008
20/08/2008,11:00,Albion Street North,1774,Wednesday,34,August,2008
20/08/2008,12:00,Albion Street North,3239,Wednesday,34,August,2008
20/08/2008,13:00,Albion Street North,4023,Wednesday,34,August,2008
20/08/2008,14:00,Albion Street North,2816,Wednesday,34,August,2008
20/08/2008,15:00,Albion Street North,2429,Wednesday,34,August,2008
20/08/2008,16:00,Albion Street North,2130,Wednesday,34,August,2008
20/08/2008,17:00,Albion Street North,2167,Wednesday,34,August,2008
20/08/2008,18:00,Albion Street North,724,Wednesday,34,August,2008
20/08/2008,19:00,Albion Street North,295,Wednesday,34,August,2008
20/08/2008,20:00,Albion Street North,185,Wednesday,34,August,2008
20/08/2008,21:00,Albion Street North,93,Wednesday,34,August,2008
20/08/2008,22:00,Albion Street North,68,Wednesday,34,August,2008
20/08/2008,23:00,Albion Street North,44,Wednesday,34,August,2008
21/08/2008,00:00,Albion Street North,9,Thursday,34,August,2008
21/08/2008,01:00,Albion Street North,20,Thursday,34,August,2008
21/08/2008,02:00,Albion Street North,11,Thursday,34,August,2008
21/08/2008,03:00,Albion Street North,13,Thursday,34,August,2008
21/08/2008,04:00,Albion Street North,2,Thursday,34,August,2008
21/08/2008,05:00,Albion Street North,20,Thursday,34,August,2008
21/08/2008,06:00,Albion Street North,87,Thursday,34,August,2008
21/08/2008,07:00,Albion Street North,404,Thursday,34,August,2008
21/08/2008,08:00,Albion Street North,1080,Thursday,34,August,2008
21/08/2008,09:00,Albion Street North,900,Thursday,34,August,2008
21/08/2008,10:00,Albion Street North,1023,Thursday,34,August,2008
21/08/2008,11:00,Albion Street North,1803,Thursday,34,August,2008
21/08/2008,12:00,Albion Street North,3947,Thursday,34,August,2008
21/08/2008,13:00,Albion Street North,3996,Thursday,34,August,2008
21/08/2008,14:00,Albion Street North,2631,Thursday,34,August,2008
21/08/2008,15:00,Albion Street North,2373,Thursday,34,August,2008
21/08/2008,16:00,Albion Street North,2127,Thursday,34,August,2008
21/08/2008,17:00,Albion Street North,1960,Thursday,34,August,2008
21/08/2008,18:00,Albion Street North,599,Thursday,34,August,2008
21/08/2008,19:00,Albion Street North,350,Thursday,34,August,2008
21/08/2008,20:00,Albion Street North,179,Thursday,34,August,2008
21/08/2008,21:00,Albion Street North,118,Thursday,34,August,2008
21/08/2008,22:00,Albion Street North,145,Thursday,34,August,2008
21/08/2008,23:00,Albion Street North,73,Thursday,34,August,2008
22/08/2008,00:00,Albion Street North,42,Friday,34,August,2008
22/08/2008,01:00,Albion Street North,27,Friday,34,August,2008
22/08/2008,02:00,Albion Street North,25,Friday,34,August,2008
22/08/2008,03:00,Albion Street North,48,Friday,34,August,2008
22/08/2008,04:00,Albion Street North,21,Friday,34,August,2008
22/08/2008,05:00,Albion Street North,24,Friday,34,August,2008
22/08/2008,06:00,Albion Street North,79,Friday,34,August,2008
22/08/2008,07:00,Albion Street North,360,Friday,34,August,2008
22/08/2008,08:00,Albion Street North,872,Friday,34,August,2008
22/08/2008,09:00,Albion Street North,662,Friday,34,August,2008
22/08/2008,10:00,Albion Street North,1227,Friday,34,August,2008
22/08/2008,11:00,Albion Street North,2144,Friday,34,August,2008
22/08/2008,12:00,Albion Street North,4069,Friday,34,August,2008
22/08/2008,13:00,Albion Street North,4251,Friday,34,August,2008
22/08/2008,14:00,Albion Street North,3021,Friday,34,August,2008
22/08/2008,15:00,Albion Street North,2775,Friday,34,August,2008
22/08/2008,16:00,Albion Street North,2327,Friday,34,August,2008
22/08/2008,17:00,Albion Street North,1899,Friday,34,August,2008
22/08/2008,18:00,Albion Street North,744,Friday,34,August,2008
22/08/2008,19:00,Albion Street North,317,Friday,34,August,2008
22/08/2008,20:00,Albion Street North,200,Friday,34,August,2008
22/08/2008,21:00,Albion Street North,131,Friday,34,August,2008
22/08/2008,22:00,Albion Street North,194,Friday,34,August,2008
22/08/2008,23:00,Albion Street North,205,Friday,34,August,2008
23/08/2008,00:00,Albion Street North,78,Saturday,34,August,2008
23/08/2008,01:00,Albion Street North,96,Saturday,34,August,2008
23/08/2008,02:00,Albion Street North,41,Saturday,34,August,2008
23/08/2008,03:00,Albion Street North,35,Saturday,34,August,2008
23/08/2008,04:00,Albion Street North,17,Saturday,34,August,2008
23/08/2008,05:00,Albion Street North,34,Saturday,34,August,2008
23/08/2008,06:00,Albion Street North,49,Saturday,34,August,2008
23/08/2008,07:00,Albion Street North,103,Saturday,34,August,2008
23/08/2008,08:00,Albion Street North,328,Saturday,34,August,2008
23/08/2008,09:00,Albion Street North,454,Saturday,34,August,2008
23/08/2008,10:00,Albion Street North,1286,Saturday,34,August,2008
23/08/2008,11:00,Albion Street North,3015,Saturday,34,August,2008
23/08/2008,12:00,Albion Street North,4611,Saturday,34,August,2008
23/08/2008,13:00,Albion Street North,4528,Saturday,34,August,2008
23/08/2008,14:00,Albion Street North,4080,Saturday,34,August,2008
23/08/2008,15:00,Albion Street North,3604,Saturday,34,August,2008
23/08/2008,16:00,Albion Street North,2678,Saturday,34,August,2008
23/08/2008,17:00,Albion Street North,1530,Saturday,34,August,2008
23/08/2008,18:00,Albion Street North,591,Saturday,34,August,2008
23/08/2008,19:00,Albion Street North,247,Saturday,34,August,2008
23/08/2008,20:00,Albion Street North,194,Saturday,34,August,2008
23/08/2008,21:00,Albion Street North,189,Saturday,34,August,2008
23/08/2008,22:00,Albion Street North,164,Saturday,34,August,2008
23/08/2008,23:00,Albion Street North,172,Saturday,34,August,2008
24/08/2008,00:00,Albion Street North,125,Sunday,34,August,2008
24/08/2008,01:00,Albion Street North,97,Sunday,34,August,2008
24/08/2008,02:00,Albion Street North,82,Sunday,34,August,2008
24/08/2008,03:00,Albion Street North,52,Sunday,34,August,2008
24/08/2008,04:00,Albion Street North,34,Sunday,34,August,2008
24/08/2008,05:00,Albion Street North,6,Sunday,34,August,2008
24/08/2008,06:00,Albion Street North,10,Sunday,34,August,2008
24/08/2008,07:00,Albion Street North,26,Sunday,34,August,2008
24/08/2008,08:00,Albion Street North,43,Sunday,34,August,2008
24/08/2008,09:00,Albion Street North,121,Sunday,34,August,2008
24/08/2008,10:00,Albion Street North,439,Sunday,34,August,2008
24/08/2008,11:00,Albion Street North,996,Sunday,34,August,2008
24/08/2008,12:00,Albion Street North,2178,Sunday,34,August,2008
24/08/2008,13:00,Albion Street North,2581,Sunday,34,August,2008
24/08/2008,14:00,Albion Street North,2078,Sunday,34,August,2008
24/08/2008,15:00,Albion Street North,2075,Sunday,34,August,2008
24/08/2008,16:00,Albion Street North,1346,Sunday,34,August,2008
24/08/2008,17:00,Albion Street North,484,Sunday,34,August,2008
24/08/2008,18:00,Albion Street North,152,Sunday,34,August,2008
24/08/2008,19:00,Albion Street North,139,Sunday,34,August,2008
24/08/2008,20:00,Albion Street North,143,Sunday,34,August,2008
24/08/2008,21:00,Albion Street North,131,Sunday,34,August,2008
24/08/2008,22:00,Albion Street North,152,Sunday,34,August,2008
24/08/2008,23:00,Albion Street North,150,Sunday,34,August,2008
25/08/2008,00:00,Albion Street North,78,Monday,35,August,2008
25/08/2008,01:00,Albion Street North,64,Monday,35,August,2008
25/08/2008,02:00,Albion Street North,40,Monday,35,August,2008
25/08/2008,03:00,Albion Street North,91,Monday,35,August,2008
25/08/2008,04:00,Albion Street North,6,Monday,35,August,2008
25/08/2008,05:00,Albion Street North,8,Monday,35,August,2008
25/08/2008,06:00,Albion Street North,16,Monday,35,August,2008
25/08/2008,07:00,Albion Street North,35,Monday,35,August,2008
25/08/2008,08:00,Albion Street North,121,Monday,35,August,2008
25/08/2008,09:00,Albion Street North,233,Monday,35,August,2008
25/08/2008,10:00,Albion Street North,546,Monday,35,August,2008
25/08/2008,11:00,Albion Street North,1171,Monday,35,August,2008
25/08/2008,12:00,Albion Street North,1755,Monday,35,August,2008
25/08/2008,13:00,Albion Street North,3126,Monday,35,August,2008
25/08/2008,14:00,Albion Street North,2520,Monday,35,August,2008
25/08/2008,15:00,Albion Street North,1992,Monday,35,August,2008
25/08/2008,16:00,Albion Street North,1375,Monday,35,August,2008
25/08/2008,17:00,Albion Street North,643,Monday,35,August,2008
25/08/2008,18:00,Albion Street North,231,Monday,35,August,2008
25/08/2008,19:00,Albion Street North,116,Monday,35,August,2008
25/08/2008,20:00,Albion Street North,85,Monday,35,August,2008
25/08/2008,21:00,Albion Street North,47,Monday,35,August,2008
25/08/2008,22:00,Albion Street North,62,Monday,35,August,2008
25/08/2008,23:00,Albion Street North,26,Monday,35,August,2008
26/08/2008,00:00,Albion Street North,6,Tuesday,35,August,2008
26/08/2008,01:00,Albion Street North,12,Tuesday,35,August,2008
26/08/2008,02:00,Albion Street North,5,Tuesday,35,August,2008
26/08/2008,03:00,Albion Street North,6,Tuesday,35,August,2008
26/08/2008,04:00,Albion Street North,2,Tuesday,35,August,2008
26/08/2008,05:00,Albion Street North,17,Tuesday,35,August,2008
26/08/2008,06:00,Albion Street North,81,Tuesday,35,August,2008
26/08/2008,07:00,Albion Street North,342,Tuesday,35,August,2008
26/08/2008,08:00,Albion Street North,911,Tuesday,35,August,2008
26/08/2008,09:00,Albion Street North,807,Tuesday,35,August,2008
26/08/2008,10:00,Albion Street North,1322,Tuesday,35,August,2008
26/08/2008,11:00,Albion Street North,2084,Tuesday,35,August,2008
26/08/2008,12:00,Albion Street North,3867,Tuesday,35,August,2008
26/08/2008,13:00,Albion Street North,4907,Tuesday,35,August,2008
26/08/2008,14:00,Albion Street North,3421,Tuesday,35,August,2008
26/08/2008,15:00,Albion Street North,2728,Tuesday,35,August,2008
26/08/2008,16:00,Albion Street North,2295,Tuesday,35,August,2008
26/08/2008,17:00,Albion Street North,1802,Tuesday,35,August,2008
26/08/2008,18:00,Albion Street North,710,Tuesday,35,August,2008
