Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
30/06/2008,00:00,"Briggate at McDonalds	",61,Monday,27,June,2008
30/06/2008,01:00,"Briggate at McDonalds	",50,Monday,27,June,2008
30/06/2008,02:00,"Briggate at McDonalds	",23,Monday,27,June,2008
30/06/2008,03:00,"Briggate at McDonalds	",19,Monday,27,June,2008
30/06/2008,04:00,"Briggate at McDonalds	",7,Monday,27,June,2008
30/06/2008,05:00,"Briggate at McDonalds	",25,Monday,27,June,2008
30/06/2008,06:00,"Briggate at McDonalds	",111,Monday,27,June,2008
30/06/2008,07:00,"Briggate at McDonalds	",266,Monday,27,June,2008
30/06/2008,08:00,"Briggate at McDonalds	",594,Monday,27,June,2008
30/06/2008,09:00,"Briggate at McDonalds	",807,Monday,27,June,2008
30/06/2008,10:00,"Briggate at McDonalds	",1063,Monday,27,June,2008
30/06/2008,11:00,"Briggate at McDonalds	",1641,Monday,27,June,2008
30/06/2008,12:00,"Briggate at McDonalds	",2245,Monday,27,June,2008
30/06/2008,13:00,"Briggate at McDonalds	",2298,Monday,27,June,2008
30/06/2008,14:00,"Briggate at McDonalds	",1908,Monday,27,June,2008
30/06/2008,15:00,"Briggate at McDonalds	",1441,Monday,27,June,2008
30/06/2008,16:00,"Briggate at McDonalds	",1152,Monday,27,June,2008
30/06/2008,17:00,"Briggate at McDonalds	",1074,Monday,27,June,2008
30/06/2008,18:00,"Briggate at McDonalds	",761,Monday,27,June,2008
30/06/2008,19:00,"Briggate at McDonalds	",359,Monday,27,June,2008
30/06/2008,20:00,"Briggate at McDonalds	",314,Monday,27,June,2008
30/06/2008,21:00,"Briggate at McDonalds	",254,Monday,27,June,2008
30/06/2008,22:00,"Briggate at McDonalds	",178,Monday,27,June,2008
30/06/2008,23:00,"Briggate at McDonalds	",96,Monday,27,June,2008
01/07/2008,00:00,"Briggate at McDonalds	",42,Tuesday,27,June,2008
01/07/2008,01:00,"Briggate at McDonalds	",28,Tuesday,27,June,2008
01/07/2008,02:00,"Briggate at McDonalds	",16,Tuesday,27,June,2008
01/07/2008,03:00,"Briggate at McDonalds	",7,Tuesday,27,June,2008
01/07/2008,04:00,"Briggate at McDonalds	",17,Tuesday,27,June,2008
01/07/2008,05:00,"Briggate at McDonalds	",25,Tuesday,27,June,2008
01/07/2008,06:00,"Briggate at McDonalds	",100,Tuesday,27,June,2008
01/07/2008,07:00,"Briggate at McDonalds	",266,Tuesday,27,June,2008
01/07/2008,08:00,"Briggate at McDonalds	",532,Tuesday,27,June,2008
01/07/2008,09:00,"Briggate at McDonalds	",659,Tuesday,27,June,2008
01/07/2008,10:00,"Briggate at McDonalds	",1153,Tuesday,27,June,2008
01/07/2008,11:00,"Briggate at McDonalds	",1555,Tuesday,27,June,2008
01/07/2008,12:00,"Briggate at McDonalds	",2191,Tuesday,27,June,2008
01/07/2008,13:00,"Briggate at McDonalds	",2207,Tuesday,27,June,2008
01/07/2008,14:00,"Briggate at McDonalds	",1539,Tuesday,27,June,2008
01/07/2008,15:00,"Briggate at McDonalds	",932,Tuesday,27,June,2008
01/07/2008,16:00,"Briggate at McDonalds	",1293,Tuesday,27,June,2008
01/07/2008,17:00,"Briggate at McDonalds	",1359,Tuesday,27,June,2008
01/07/2008,18:00,"Briggate at McDonalds	",904,Tuesday,27,June,2008
01/07/2008,19:00,"Briggate at McDonalds	",449,Tuesday,27,June,2008
01/07/2008,20:00,"Briggate at McDonalds	",337,Tuesday,27,June,2008
01/07/2008,21:00,"Briggate at McDonalds	",216,Tuesday,27,June,2008
01/07/2008,22:00,"Briggate at McDonalds	",177,Tuesday,27,June,2008
01/07/2008,23:00,"Briggate at McDonalds	",48,Tuesday,27,June,2008
02/07/2008,00:00,"Briggate at McDonalds	",24,Wednesday,27,June,2008
02/07/2008,01:00,"Briggate at McDonalds	",12,Wednesday,27,June,2008
02/07/2008,02:00,"Briggate at McDonalds	",22,Wednesday,27,June,2008
02/07/2008,03:00,"Briggate at McDonalds	",9,Wednesday,27,June,2008
02/07/2008,04:00,"Briggate at McDonalds	",6,Wednesday,27,June,2008
02/07/2008,05:00,"Briggate at McDonalds	",20,Wednesday,27,June,2008
02/07/2008,06:00,"Briggate at McDonalds	",78,Wednesday,27,June,2008
02/07/2008,07:00,"Briggate at McDonalds	",248,Wednesday,27,June,2008
02/07/2008,08:00,"Briggate at McDonalds	",601,Wednesday,27,June,2008
02/07/2008,09:00,"Briggate at McDonalds	",537,Wednesday,27,June,2008
02/07/2008,10:00,"Briggate at McDonalds	",1066,Wednesday,27,June,2008
02/07/2008,11:00,"Briggate at McDonalds	",1506,Wednesday,27,June,2008
02/07/2008,12:00,"Briggate at McDonalds	",2140,Wednesday,27,June,2008
02/07/2008,13:00,"Briggate at McDonalds	",2254,Wednesday,27,June,2008
02/07/2008,14:00,"Briggate at McDonalds	",1827,Wednesday,27,June,2008
02/07/2008,15:00,"Briggate at McDonalds	",1221,Wednesday,27,June,2008
02/07/2008,16:00,"Briggate at McDonalds	",1638,Wednesday,27,June,2008
02/07/2008,17:00,"Briggate at McDonalds	",1421,Wednesday,27,June,2008
02/07/2008,18:00,"Briggate at McDonalds	",865,Wednesday,27,June,2008
02/07/2008,19:00,"Briggate at McDonalds	",520,Wednesday,27,June,2008
02/07/2008,20:00,"Briggate at McDonalds	",322,Wednesday,27,June,2008
02/07/2008,21:00,"Briggate at McDonalds	",250,Wednesday,27,June,2008
02/07/2008,22:00,"Briggate at McDonalds	",229,Wednesday,27,June,2008
02/07/2008,23:00,"Briggate at McDonalds	",183,Wednesday,27,June,2008
03/07/2008,00:00,"Briggate at McDonalds	",70,Thursday,27,June,2008
03/07/2008,01:00,"Briggate at McDonalds	",49,Thursday,27,June,2008
03/07/2008,02:00,"Briggate at McDonalds	",25,Thursday,27,June,2008
03/07/2008,03:00,"Briggate at McDonalds	",20,Thursday,27,June,2008
03/07/2008,04:00,"Briggate at McDonalds	",10,Thursday,27,June,2008
03/07/2008,05:00,"Briggate at McDonalds	",15,Thursday,27,June,2008
